,short_name,latest_market_value,highest_market_value,current_club,position,main_position,secondary_position,age,height,league_country,foot,player_agent,outfitter,league,on_loan_from,contract_expires,appearances,goals,assists,yellow,second_yellow,red,minutes_played,goals_conceded,clean_sheets,last_appearances,last_goals,last_yellow,last_second_yellow,last_red,last_goals_conceded,last_clean_sheets,last_assists,last_minutes_played,country,country_2
10,Philippe Sandler,3850000.0,4950000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,23.0,1.9,England,right,Mino Raiola,unknown,Premier League,0,30.06.2022,11,0,1,3,0,0,982,0,0,8,0,2,0,0,0,0,0,596,Netherlands,0
11,Tosin Adarabioyo,3080000.0,3850000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,22.0,1.95,England,right,Closeview Sports Management,Nike,Premier League,0,30.06.2021,35,3,1,0,0,0,3056,0,0,36,0,3,0,0,0,0,2,2636,England,1
12,Taylor Harwood-Bellis,2530000.0,2750000.0,Manchester City,Defender - Centre-Back,Centre-Back,0,18.0,1.88,England,right,Crown Football Ltd,unknown,Premier League,0,30.06.2021,30,3,0,3,1,0,2481,0,0,34,4,1,0,0,0,0,0,2339,England,0
13,Benjamin Mendy,30800000.0,49500000.0,Manchester City,Defender - Left-Back,Left-Back,1,26.0,1.85,England,left,MeÃ¯ssa N'diaye,adidas,Premier League,0,30.06.2023,30,0,4,6,0,0,2324,0,0,15,0,1,0,0,0,0,5,1270,France,1
14,Oleksandr Zinchenko,26400000.0,33000000.0,Manchester City,Defender - Left-Back,Left-Back,1,23.0,1.75,England,left,Anatoliy Patuk,Puma,Premier League,0,30.06.2024,25,1,0,0,1,0,1746,0,0,29,1,2,0,0,0,0,5,2339,Ukraine,0
15,Kyle Walker,44000000.0,55000000.0,Manchester City,Defender - Right-Back,Right-Back,1,30.0,1.83,England,right,Base Soccer Agency Ltd,Nike,Premier League,0,30.06.2024,42,1,6,6,0,0,3424,0,0,52,2,6,0,0,0,0,1,4301,England,0
16,JoÃ£o Cancelo,39600000.0,60500000.0,Manchester City,Defender - Right-Back,Right-Back,1,26.0,1.82,England,right,Gestifute,Nike,Premier League,0,30.06.2025,33,1,1,5,0,0,2356,0,0,34,1,6,0,0,0,0,5,2599,Portugal,0
17,Yan Couto,3960000.0,4400000.0,Manchester City,Defender - Right-Back,Right-Back,0,18.0,1.68,England,right,Think Ball & Sports Consulting,unknown,Premier League,0,30.06.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,0
18,Rodri,70400000.0,88000000.0,Manchester City,Midfielder - Defensive Midfield,Defensive Midfield,1,24.0,1.91,England,right,Pablo Barquero,Nike,Premier League,0,30.06.2024,52,4,2,13,0,0,3679,0,0,47,3,5,0,0,0,0,1,3675,Spain,0
19,Yangel Herrera,9900000.0,11000000.0,Manchester City,Midfielder - Defensive Midfield,Defensive Midfield,1,22.0,1.84,England,right,PARRI GROUP,unknown,Premier League,0,0,36,2,3,15,0,0,2832,0,0,16,0,5,0,0,0,0,0,1158,Venezuela,0
20,Fernandinho,8800000.0,35200000.0,Manchester City,Midfielder - Defensive Midfield,Defensive Midfield,1,35.0,1.79,England,right,Branchini Associati S.p.A.,unknown,Premier League,0,30.06.2021,41,0,1,11,1,1,3234,0,0,42,1,9,0,0,0,0,3,3374,Brazil,0
21,Ante Palaversa,3960000.0,5500000.0,Manchester City,Midfielder - Defensive Midfield,Defensive Midfield,1,20.0,1.87,England,right,Stars & Friends,unknown,Premier League,0,30.06.2023,20,0,0,2,0,0,1751,0,0,30,2,1,0,0,0,0,1,1830,Croatia,0
22,Ilkay GÃ¼ndogan,44000000.0,55000000.0,Manchester City,Midfielder - Central Midfield,Central Midfield,1,29.0,1.8,England,right,Relatives,adidas,Premier League,0,30.06.2023,50,5,5,7,0,0,3521,0,0,50,6,4,0,0,0,0,8,3387,Germany,0
23,Phil Foden,44000000.0,44000000.0,Manchester City,Midfielder - Central Midfield,Central Midfield,1,20.0,1.71,England,left,unknown,Nike,Premier League,0,30.06.2024,38,8,9,0,1,0,1740,0,0,26,7,1,0,0,0,0,2,1107,England,0
24,Kevin De Bruyne,132000000.0,165000000.0,Manchester City,Midfielder - Attacking Midfield,Attacking Midfield,1,29.0,1.81,England,right,J&S International,Nike,Premier League,0,30.06.2023,48,16,23,5,0,0,3826,0,0,32,6,2,0,0,0,0,11,1828,Belgium,0
25,Bernardo Silva,88000000.0,110000000.0,Manchester City,Midfielder - Attacking Midfield,Attacking Midfield,1,26.0,1.73,England,left,Gestifute,adidas,Premier League,0,30.06.2025,52,8,10,6,0,0,3299,0,0,51,13,3,0,0,0,0,14,4025,Portugal,0
26,Luka Ilic,1320000.0,2200000.0,Manchester City,Midfielder - Attacking Midfield,Attacking Midfield,1,21.0,1.82,England,left,unknown,Nike,Premier League,0,30.06.2022,29,5,4,4,0,0,2218,0,0,18,2,2,0,0,0,0,3,963,Serbia,0
27,Ryotaro Meshino,495000.0,550000.0,Manchester City,Midfielder - Attacking Midfield,Attacking Midfield,1,22.0,1.71,England,right,"JAPAN SPORTS PROMOTION Co.,LTD.",unknown,Premier League,0,30.06.2022,21,3,1,1,0,0,1106,0,0,25,13,0,0,0,0,0,2,1525,Japan,0
28,Raheem Sterling,140800000.0,176000000.0,Manchester City,Forward - Left Winger,Left Winger,1,25.0,1.7,England,right,Colossal Sports Management,Nike,Premier League,0,30.06.2023,52,31,10,6,0,0,3987,0,0,51,25,5,0,0,0,0,18,4097,England,1
29,Marlos Moreno,358000.0,1100000.0,Manchester City,Forward - Left Winger,Left Winger,1,23.0,1.73,England,right,unknown,Nike,Premier League,0,30.06.2021,20,0,0,1,0,0,679,0,0,17,3,2,0,0,0,0,3,836,Colombia,0
30,Riyad Mahrez,52800000.0,66000000.0,Manchester City,Forward - Right Winger,Right Winger,1,29.0,1.79,England,left,no agent,Nike,Premier League,0,30.06.2023,50,13,16,1,0,0,3149,0,0,44,12,1,0,0,0,0,12,2551,Algeria,1
31,Ferran Torres,49500000.0,55000000.0,Manchester City,Forward - Right Winger,Right Winger,1,20.0,1.84,England,right,Leaderbrock Sports,adidas,Premier League,0,30.06.2025,44,6,8,6,0,0,3104,0,0,37,3,6,0,0,0,0,2,1747,Spain,0
32,Patrick Roberts,3080000.0,8250000.0,Manchester City,Forward - Right Winger,Right Winger,1,23.0,1.67,England,left,Stellar Football Ltd,adidas,Premier League,0,30.06.2022,16,2,3,1,0,0,885,0,0,21,0,0,0,0,0,0,1,640,England,0
33,Gabriel Jesus,61600000.0,88000000.0,Manchester City,Forward - Centre-Forward,Centre-Forward,1,23.0,1.75,England,right,Cristiano SimÃµes,unknown,Premier League,0,30.06.2023,53,23,14,3,0,0,3274,0,0,47,21,1,0,0,0,0,6,2253,Brazil,0
34,Sergio AgÃ¼ero,57200000.0,88000000.0,Manchester City,Forward - Centre-Forward,Centre-Forward,1,32.0,1.73,England,right,Eleven Talent Group,Puma,Premier League,0,30.06.2021,32,23,4,1,0,0,2092,0,0,46,32,5,0,0,0,0,10,3370,Argentina,1
35,Alisson,79200000.0,99000000.0,Liverpool FC,Goalkeeper,Goalkeeper,0,27.0,1.91,England,right,Football Capital,Nike,Premier League,0,30.06.2024,37,0,0,0,0,1,3295,29,17,51,0,1,0,0,34,27,0,4590,Brazil,0
36,AdriÃ¡n,4400000.0,9900000.0,Liverpool FC,Goalkeeper,Goalkeeper,0,33.0,1.9,England,right,BahÃ­a Internacional,adidas,Premier League,0,30.06.2021,18,0,0,1,0,0,1563,24,3,5,0,0,0,0,8,2,0,450,Spain,0
37,Loris Karius,3520000.0,13200000.0,Liverpool FC,Goalkeeper,Goalkeeper,0,27.0,1.89,England,right,sportseXcellence,adidas,Premier League,0,30.06.2022,32,0,0,1,0,0,2880,46,8,35,0,2,0,0,49,6,0,3150,Germany,0
38,Caoimhin Kelleher,990000.0,1100000.0,Liverpool FC,Goalkeeper,Goalkeeper,0,21.0,1.88,England,right,Stellar Football Ltd,unknown,Premier League,0,30.06.2022,10,0,0,0,0,0,900,21,4,11,0,0,0,0,16,1,0,990,Ireland,0
39,Virgil van Dijk,88000000.0,110000000.0,Liverpool FC,Defender - Centre-Back,Centre-Back,0,29.0,1.93,England,right,unknown,Nike,Premier League,0,30.06.2023,50,5,2,1,0,0,4590,0,0,50,6,4,0,0,0,0,4,4465,Netherlands,1
40,Joe Gomez,44000000.0,46200000.0,Liverpool FC,Defender - Centre-Back,Centre-Back,1,23.0,1.88,England,right,Wasserman,Nike,Premier League,0,30.06.2024,43,0,0,10,0,0,3289,0,0,26,0,3,0,0,0,0,0,1644,England,1
41,Joel Matip,35200000.0,44000000.0,Liverpool FC,Defender - Centre-Back,Centre-Back,1,29.0,1.95,England,right,ASBW Sport Marketing,adidas,Premier League,0,30.06.2024,13,2,0,0,0,0,1015,0,0,31,1,6,0,0,0,0,1,2342,Cameroon,1
42,Sepp van den Berg,1980000.0,2200000.0,Liverpool FC,Defender - Centre-Back,Centre-Back,0,18.0,1.89,England,right,Key Sports Management NL/PFI,unknown,Premier League,0,0,22,0,0,4,0,1,1838,0,0,20,0,0,0,0,0,0,0,1305,Netherlands,0
43,Andrew Robertson,70400000.0,88000000.0,Liverpool FC,Defender - Left-Back,Left-Back,1,26.0,1.78,England,left,PLG,Nike,Premier League,0,30.06.2024,49,3,12,4,0,0,4242,0,0,48,0,7,0,0,0,0,13,4227,Scotland,0
44,Konstantinos Tsimikas,9900000.0,9900000.0,Liverpool FC,Defender - Left-Back,Left-Back,1,24.0,1.79,England,left,Prosport International,unknown,Premier League,0,30.06.2025,46,0,7,10,0,0,4052,0,0,28,0,4,1,0,0,0,3,2415,Greece,0
45,Trent Alexander-Arnold,121000000.0,121000000.0,Liverpool FC,Defender - Right-Back,Right-Back,0,21.0,1.8,England,right,PLG,Under Armour,Premier League,0,30.06.2024,49,4,15,7,0,0,3991,0,0,40,1,3,0,0,0,0,16,3388,England,0
47,Fabinho,61600000.0,77000000.0,Liverpool FC,Midfielder - Defensive Midfield,Defensive Midfield,1,26.0,1.88,England,right,Gestifute,adidas,Premier League,0,30.06.2023,39,2,4,8,0,0,2925,0,0,41,1,10,0,0,0,0,2,2916,Brazil,0
48,Georginio Wijnaldum,44000000.0,55000000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,29.0,1.75,England,right,Football Mix B.V.,adidas,Premier League,0,30.06.2021,47,6,0,0,0,0,3644,0,0,47,5,4,0,0,0,0,1,3705,Netherlands,1
49,Naby KeÃ¯ta,44000000.0,71500000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,25.0,1.72,England,right,arena11 sports group,Nike,Premier League,0,30.06.2023,27,4,3,1,0,0,1395,0,0,33,3,2,0,0,0,0,1,1817,Guinea,0
50,Jordan Henderson,30800000.0,38500000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,30.0,1.87,England,right,unknown,unknown,Premier League,0,30.06.2023,40,4,5,3,0,0,3167,0,0,44,1,3,1,0,0,0,5,2811,England,0
51,Alex Oxlade-Chamberlain,30800000.0,44000000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,27.0,1.75,England,right,Colossal Sports Management,Nike,Premier League,0,30.06.2023,43,8,2,1,0,0,2195,0,0,4,0,0,0,0,0,0,0,105,England,0
52,Marko Grujic,15950000.0,22000000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,24.0,1.91,England,right,LIAN SPORTS,Nike,Premier League,0,30.06.2023,31,4,2,9,0,0,2629,0,0,23,5,5,0,0,0,0,1,1900,Serbia,0
53,James Milner,7150000.0,23100000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,34.0,1.75,England,right,Samii Sport-Marketing Agentur,Nike,Premier League,0,30.06.2022,37,4,4,7,0,0,1708,0,0,45,7,8,1,0,0,0,7,2836,England,0
54,Curtis Jones,5500000.0,5500000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,19.0,1.85,England,right,Midas Sports,Nike,Premier League,0,30.06.2025,31,17,7,2,0,0,2199,0,0,20,7,1,0,0,0,0,3,1698,England,0
55,Ovie Ejaria,3520000.0,4400000.0,Liverpool FC,Midfielder - Central Midfield,Central Midfield,1,22.0,1.84,England,right,Stellar Football Ltd,unknown,Premier League,0,0,39,3,5,3,0,0,3324,0,0,44,3,6,0,0,0,0,3,3392,England,1
56,Ben Woodburn,4950000.0,5500000.0,Liverpool FC,Midfielder - Attacking Midfield,Attacking Midfield,1,20.0,1.74,England,right,Stellar Football Ltd,Nike,Premier League,0,30.06.2022,16,1,5,1,0,0,948,0,0,15,2,2,0,0,0,0,3,848,Wales,1
57,Sadio ManÃ©,132000000.0,165000000.0,Liverpool FC,Forward - Left Winger,Left Winger,1,28.0,1.74,England,right,arena11 sports group,New Balance,Premier League,0,30.06.2023,47,22,12,7,0,0,3720,0,0,50,26,4,0,0,0,0,5,4309,Senegal,0
58,Takumi Minamino,11000000.0,13750000.0,Liverpool FC,Forward - Left Winger,Left Winger,1,25.0,1.74,England,right,Sarcle Co. Ltd.,adidas,Premier League,0,30.06.2024,36,9,11,2,0,0,2092,0,0,45,14,4,0,0,0,0,10,2535,Japan,0
59,Mohamed Salah,132000000.0,165000000.0,Liverpool FC,Forward - Right Winger,Right Winger,1,28.0,1.75,England,left,unknown,adidas,Premier League,0,30.06.2023,48,23,13,2,0,0,4061,0,0,52,27,2,0,0,0,0,12,4342,Egypt,0
60,Harry Wilson,19250000.0,27500000.0,Liverpool FC,Forward - Right Winger,Right Winger,1,23.0,1.73,England,left,Base Soccer Agency Ltd,adidas,Premier League,0,30.06.2023,35,7,2,3,0,0,1933,0,0,50,18,13,0,0,0,0,6,4048,Wales,1
61,Xherdan Shaqiri,17600000.0,27500000.0,Liverpool FC,Forward - Right Winger,Right Winger,1,28.0,1.69,England,left,ESHA,Nike,Premier League,0,30.06.2023,11,1,0,0,0,0,263,0,0,30,6,2,0,0,0,0,5,1413,Switzerland,1
62,Sheyi Ojo,1760000.0,2750000.0,Liverpool FC,Forward - Right Winger,Right Winger,1,23.0,1.79,England,left,Elite Project Group Ltd,unknown,Premier League,0,30.06.2023,36,5,7,2,0,0,1983,0,0,19,1,1,0,0,0,0,1,838,England,1
63,Roberto Firmino,79200000.0,99000000.0,Liverpool FC,Forward - Centre-Forward,Centre-Forward,1,28.0,1.81,England,right,ROGON,adidas,Premier League,0,30.06.2023,52,12,13,1,0,0,3921,0,0,48,16,0,0,0,0,0,8,3406,Brazil,0
64,Divock Origi,17600000.0,22000000.0,Liverpool FC,Forward - Centre-Forward,Centre-Forward,1,25.0,1.85,England,right,unknown,Nike,Premier League,0,30.06.2024,42,6,4,1,0,0,1426,0,0,22,8,0,0,0,0,0,2,763,Belgium,1
65,Taiwo Awoniyi,3520000.0,4950000.0,Liverpool FC,Forward - Centre-Forward,Centre-Forward,1,23.0,1.83,England,right,arena11 sports group,unknown,Premier League,0,30.06.2023,12,1,0,1,0,0,475,0,0,38,14,2,0,0,0,0,3,2203,Nigeria,0
66,Kepa,30800000.0,66000000.0,Chelsea FC,Goalkeeper,Goalkeeper,0,25.0,1.86,England,right,AC Talent,adidas,Premier League,0,30.06.2025,41,0,0,1,0,0,3720,58,10,54,0,4,0,0,51,23,0,4920,Spain,0
67,Willy Caballero,660000.0,5500000.0,Chelsea FC,Goalkeeper,Goalkeeper,0,38.0,1.86,England,right,Sports Promotion Group,unknown,Premier League,0,30.06.2021,14,0,0,1,0,0,1260,21,3,9,0,0,0,0,7,5,0,810,Argentina,1
68,Antonio RÃ¼diger,44000000.0,55000000.0,Chelsea FC,Defender - Centre-Back,Centre-Back,1,27.0,1.9,England,right,FSB â Spielerberatung GmbH,Nike,Premier League,0,30.06.2022,28,2,0,4,0,0,2417,0,0,44,1,10,0,0,0,0,0,3894,Germany,1
69,Kurt Zouma,30800000.0,38500000.0,Chelsea FC,Defender - Centre-Back,Centre-Back,1,25.0,1.9,England,right,unknown,Nike,Premier League,0,30.06.2023,43,1,3,9,0,0,3704,0,0,36,2,3,1,0,0,0,2,2924,France,1
70,Andreas Christensen,26400000.0,44000000.0,Chelsea FC,Defender - Centre-Back,Centre-Back,1,24.0,1.88,England,right,Relatives,adidas,Premier League,0,30.06.2022,28,0,0,5,0,0,2342,0,0,29,0,3,0,0,0,0,1,2439,Denmark,0
71,Fikayo Tomori,17600000.0,22000000.0,Chelsea FC,Defender - Centre-Back,Centre-Back,1,22.0,1.84,England,right,unknown,adidas,Premier League,0,30.06.2024,22,2,1,4,0,0,1868,0,0,56,2,10,0,0,0,0,1,4901,England,1
72,Ethan Ampadu,9900000.0,11000000.0,Chelsea FC,Defender - Centre-Back,Centre-Back,1,19.0,1.82,England,right,Platinum One Group,unknown,Premier League,0,30.06.2023,7,0,0,1,0,0,277,0,0,12,0,2,0,0,0,0,0,823,Wales,1
73,Emerson,26400000.0,33000000.0,Chelsea FC,Defender - Left-Back,Left-Back,1,26.0,1.75,England,left,Elenko Sports Ltda.,Nike,Premier League,0,30.06.2022,21,0,1,4,0,0,1523,0,0,27,1,2,0,0,0,0,2,2250,Italy,1
74,Marcos Alonso,19800000.0,49500000.0,Chelsea FC,Defender - Left-Back,Left-Back,1,29.0,1.88,England,left,LIAN SPORTS,Nike,Premier League,0,30.06.2023,29,4,4,4,0,1,2344,0,0,39,4,6,0,0,0,0,7,3456,Spain,0
75,Abdul Rahman Baba,2640000.0,16500000.0,Chelsea FC,Defender - Left-Back,Left-Back,1,26.0,1.79,England,left,SPOCS Global Sports,Nike,Premier League,0,30.06.2022,3,0,0,1,0,0,199,0,0,15,1,3,0,0,0,0,1,1292,Ghana,0
76,CÃ©sar Azpilicueta,26400000.0,44000000.0,Chelsea FC,Defender - Right-Back,Right-Back,1,30.0,1.78,England,right,Relatives,adidas,Premier League,0,30.06.2022,49,4,7,5,0,0,4312,0,0,57,1,7,0,0,0,0,9,4867,Spain,0
77,Reece James,24750000.0,27500000.0,Chelsea FC,Defender - Right-Back,Right-Back,1,20.0,1.82,England,right,Unique Sports Management,unknown,Premier League,0,30.06.2025,39,2,4,3,0,0,2507,0,0,46,3,5,0,0,0,0,3,4005,England,0
78,Davide Zappacosta,13200000.0,22000000.0,Chelsea FC,Defender - Right-Back,Right-Back,1,28.0,1.82,England,right,Alessandro Lucci - WSA,unknown,Premier League,0,30.06.2022,9,0,1,0,0,0,446,0,0,17,0,1,0,0,0,0,2,1020,Italy,0
79,Jorginho,57200000.0,71500000.0,Chelsea FC,Midfielder - Defensive Midfield,Defensive Midfield,1,28.0,1.8,England,right,JSPORTS MANAGEMENT LTD,Nike,Premier League,0,30.06.2023,44,7,2,13,0,0,3513,0,0,54,2,10,0,0,0,0,0,4391,Italy,1
80,TiemouÃ© Bakayoko,28050000.0,44000000.0,Chelsea FC,Midfielder - Defensive Midfield,Defensive Midfield,1,26.0,1.89,England,right,ROGON,adidas,Premier League,0,30.06.2022,23,1,2,4,0,1,1899,0,0,42,1,8,1,0,0,0,1,3274,France,1
81,N'Golo KantÃ©,88000000.0,110000000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,29.0,1.68,England,right,unknown,adidas,Premier League,0,30.06.2023,28,3,0,5,0,0,2303,0,0,53,5,6,0,0,0,0,4,4185,France,1
82,Mateo Kovacic,44000000.0,49500000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,26.0,1.77,England,right,Venture Partners,Nike,Premier League,0,30.06.2024,47,2,3,10,1,0,3281,0,0,51,0,5,0,0,0,0,2,3087,Croatia,0
83,Ruben Loftus-Cheek,26400000.0,33000000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,24.0,1.91,England,right,Stellar Football Ltd,adidas,Premier League,0,30.06.2024,10,0,2,0,0,0,317,0,0,40,10,1,0,0,0,0,5,1955,England,0
84,Ross Barkley,23650000.0,33000000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,26.0,1.85,England,right,unknown,Nike,Premier League,0,30.06.2023,31,5,5,1,0,0,1700,0,0,48,5,4,0,0,0,0,6,2725,England,0
85,Billy Gilmour,5940000.0,6600000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,19.0,1.7,England,right,Stellar Football Ltd,adidas,Premier League,0,30.06.2023,26,2,5,1,0,0,1789,0,0,32,9,4,0,0,0,0,6,2597,Scotland,0
86,Danny Drinkwater,5280000.0,22000000.0,Chelsea FC,Midfielder - Central Midfield,Central Midfield,1,30.0,1.77,England,right,no agent,unknown,Premier League,0,30.06.2022,6,0,0,1,0,0,412,0,0,1,0,0,0,0,0,0,0,30,England,0
87,Kenedy,10450000.0,13200000.0,Chelsea FC,Midfielder - Left Midfield,Left Midfield,1,24.0,1.82,England,left,unknown,unknown,Premier League,0,30.06.2022,27,3,5,4,0,0,946,0,0,28,1,1,0,0,0,0,1,1613,Brazil,0
88,Mason Mount,44550000.0,49500000.0,Chelsea FC,Midfielder - Attacking Midfield,Attacking Midfield,1,21.0,1.78,England,right,Stellar Football Ltd,Nike,Premier League,0,30.06.2024,53,8,6,4,0,0,3741,0,0,45,11,5,0,0,0,0,6,3928,England,0
89,Faustino Anjorin,2530000.0,2750000.0,Chelsea FC,Midfielder - Attacking Midfield,Attacking Midfield,1,18.0,1.86,England,right,First Access Sports,unknown,Premier League,0,30.06.2025,25,11,6,1,0,0,1611,0,0,21,10,0,0,0,0,0,4,1196,England,1
90,Christian Pulisic,66000000.0,66000000.0,Chelsea FC,Forward - Left Winger,Left Winger,1,21.0,1.72,England,right,Relatives,Nike,Premier League,0,30.06.2024,34,11,10,0,0,0,2348,0,0,30,7,2,0,0,0,0,6,1701,United States,1
91,Callum Hudson-Odoi,34650000.0,38500000.0,Chelsea FC,Forward - Left Winger,Left Winger,1,19.0,1.77,England,right,Relatives,adidas,Premier League,0,30.06.2024,35,4,7,1,0,0,1609,0,0,29,6,0,0,0,0,0,7,1617,England,1
92,Hakim Ziyech,44000000.0,55000000.0,Chelsea FC,Forward - Right Winger,Right Winger,1,27.0,1.81,England,left,Nakhli Mondial,Nike,Premier League,0,30.06.2025,35,8,21,1,0,0,2686,0,0,49,21,7,0,0,0,0,24,4111,Morocco,1
93,Timo Werner,70400000.0,88000000.0,Chelsea FC,Forward - Centre-Forward,Centre-Forward,1,24.0,1.81,England,right,Karlheinz FÃ¶rster,adidas,Premier League,0,30.06.2025,45,34,13,5,0,0,3589,0,0,37,19,1,0,0,0,0,10,3101,Germany,0
94,Tammy Abraham,44000000.0,55000000.0,Chelsea FC,Forward - Centre-Forward,Centre-Forward,1,22.0,1.91,England,right,unknown,Nike,Premier League,0,30.06.2023,47,18,6,2,0,0,2960,0,0,43,26,3,0,0,0,0,3,3651,England,1
95,Michy Batshuayi,15400000.0,44000000.0,Chelsea FC,Forward - Centre-Forward,Centre-Forward,0,26.0,1.84,England,right,MeÃ¯ssa N'diaye,adidas,Premier League,0,30.06.2021,25,8,3,1,0,0,746,0,0,36,9,4,0,0,0,0,0,1963,Belgium,1
96,Olivier Giroud,7700000.0,29700000.0,Chelsea FC,Forward - Centre-Forward,Centre-Forward,0,33.0,1.93,England,left,Michael Manuello,Puma,Premier League,0,30.06.2021,25,10,1,2,0,0,1408,0,0,45,13,1,0,0,0,0,10,2156,France,0
97,David de Gea,44000000.0,77000000.0,Manchester United,Goalkeeper,Goalkeeper,0,29.0,1.89,England,right,Relatives,adidas,Premier League,0,30.06.2023,43,0,0,2,0,0,3870,44,15,47,0,1,0,0,63,10,0,4230,Spain,0
98,Dean Henderson,22000000.0,22000000.0,Manchester United,Goalkeeper,Goalkeeper,0,23.0,1.88,England,right,Stellar Football Ltd,unknown,Premier League,0,30.06.2022,40,0,0,2,0,0,3589,37,14,46,0,0,0,0,41,21,0,4140,England,0
99,Sergio Romero,3080000.0,7700000.0,Manchester United,Goalkeeper,Goalkeeper,0,33.0,1.92,England,right,Stellar Football Ltd,adidas,Premier League,0,30.06.2021,17,0,0,0,0,0,1590,5,12,7,0,0,0,1,6,3,0,607,Argentina,1
100,Lee Grant,660000.0,1100000.0,Manchester United,Goalkeeper,Goalkeeper,0,37.0,1.93,England,right,unknown,unknown,Premier League,0,30.06.2021,3,0,0,0,0,0,270,2,2,1,0,0,0,0,1,0,0,20,England,0
101,Joel Pereira,523000.0,1100000.0,Manchester United,Goalkeeper,Goalkeeper,0,24.0,1.89,England,right,TD Sport Management,unknown,Premier League,0,30.06.2021,25,0,0,0,0,0,2280,43,5,15,0,1,0,0,20,4,0,1329,Portugal,1
102,Harry Maguire,61600000.0,77000000.0,Manchester United,Defender - Centre-Back,Centre-Back,0,27.0,1.94,England,right,Triple S Sports,Nike,Premier League,0,30.06.2025,55,3,3,9,0,0,4962,0,0,32,3,6,0,1,0,0,0,2689,England,0
