id,name,full_name,birth_date,age,height_cm,weight_kgs,nationality_id,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,release_clause_euro
225014,G. Castrovilli,Gaetano Castrovilli,1997-02-17,22,152.4,72.1,77,65,75,875000.0,9000.0,Right,1,2,2,Medium/ Medium,""
232946,K. Taketomi,武富 孝介,1990-09-23,28,172.72,68.9,80,65,65,575000.0,3000.0,Right,1,4,3,Medium/ Medium,""
208370,E. Zenga,Erik Zenga,1993-01-18,26,154.94,76.2,58,65,68,675000.0,2000.0,Right,1,3,3,Medium/ Medium,1100000.0
202482,A. Rodman,Alex Rodman,1987-02-15,32,187.96,79.8,45,65,65,475000.0,3000.0,Right,1,3,3,Medium/ Medium,831000.0
228593,V. Sierro,Vincent Sierro,1995-10-08,23,185.42,74.8,140,65,74,825000.0,5000.0,Right,1,2,2,Medium/ Medium,""
226801,S. Abdul-Salaam,Saad Abdul-Salaam,1991-09-08,27,193.04,83.9,152,65,66,525000.0,2000.0,Right,1,3,2,Medium/ High,827000.0
226033,E. Käck,Elliot Käck,1989-09-18,29,172.72,68.0,139,65,65,425000.0,2000.0,Left,1,4,2,High/ Medium,531000.0
203249,J. Valencia,César Joel Valencia Castillo,1994-11-16,24,165.1,60.8,42,65,71,750000.0,2000.0,Right,1,4,3,High/ Low,1200000.0
244208,Isma Cerro,Ismael Cerro Sánchez,1995-07-07,23,152.4,73.0,134,65,72,750000.0,3000.0,Right,1,4,3,Medium/ Medium,1400000.0
188399,A. Dercho,Alexander Dercho,1987-01-21,32,185.42,74.8,58,65,65,350000.0,1000.0,Left,1,2,3,Medium/ Medium,508000.0
238319,T. Edwards,Thomas Edwards,1999-01-22,20,175.26,76.2,45,65,82,1000000.0,4000.0,Right,1,3,2,High/ High,2600000.0
234991,M. Opondo,Moses Opondo,1997-10-28,21,175.26,72.1,149,65,75,875000.0,2000.0,Right,1,3,3,High/ Medium,1300000.0
215279,T. Albutat,Tim Albutat,1992-09-23,26,182.88,78.9,58,65,69,600000.0,2000.0,Right,1,3,2,Medium/ Medium,1000000.0
204783,Felipe,Felipe Alfonso Criado,1993-04-14,25,175.26,66.2,134,65,69,575000.0,3000.0,Right,1,4,2,High/ Medium,963000.0
51694,H. Opdal,Håkon Eikemo Opdal,1982-06-11,36,187.96,91.2,111,65,65,70000.0,1000.0,Right,1,2,1,Medium/ Medium,88000.0
242670,T. Domgjoni,Toni Domgjoni,1998-09-04,20,152.4,73.9,140,65,79,1100000.0,2000.0,Right,1,4,3,Medium/ Medium,2400000.0
237294,A. Mallé,Aly Mallé,1998-04-03,20,152.4,66.2,95,65,78,1000000.0,5000.0,Left,1,3,3,High/ Low,""
232174,O. Hawkins,Oliver Hawkins,1992-04-08,26,198.12,92.1,45,65,68,675000.0,4000.0,Right,1,3,2,Medium/ Medium,1200000.0
231406,K. Edwards,Kyle Edwards,1998-02-17,21,172.72,64.0,45,65,77,975000.0,7000.0,Right,1,3,3,Medium/ Medium,2000000.0
221934,S. Scougall,Stefan Scougall,1992-12-07,26,170.18,57.2,126,65,68,675000.0,4000.0,Left,1,3,3,High/ Medium,1200000.0
214510,L. Mosquera,Luis Hernán Mosquera Chamorro,1989-05-25,29,175.26,68.0,30,65,65,400000.0,1000.0,Left,1,3,2,High/ Medium,540000.0
53741,L. Holmes,Lee Holmes,1987-04-02,31,175.26,66.2,45,65,65,475000.0,4000.0,Left,1,2,3,Medium/ Medium,831000.0
177389,F. Morais,Filipe Morais,1985-11-21,33,175.26,83.0,120,65,65,400000.0,3000.0,Right,1,3,3,Medium/ Medium,700000.0
193260,M. Pink,Markus Pink,1991-02-24,28,187.96,87.1,10,65,65,575000.0,6000.0,Right,1,3,2,Medium/ Medium,834000.0
174572,R. Zelaya,Rodolfo Antonio Zelaya García,1988-07-03,30,175.26,69.9,44,65,65,550000.0,3000.0,Left,1,3,3,Medium/ Medium,825000.0
220140,F. Kent,Frankie Kent,1995-11-21,23,187.96,76.2,45,65,75,750000.0,3000.0,Right,1,3,2,Medium/ High,1500000.0
210156,O. Abdulaziz,Omar Abdulaziz,1983-12-17,35,172.72,64.0,125,65,65,160000.0,6000.0,Right,1,3,2,Low/ High,264000.0
137708,F. Dick,Florian Dick,1984-11-09,34,182.88,83.9,58,65,65,210000.0,2000.0,Right,1,3,2,Medium/ Medium,305000.0
193771,A. Wildig,Aaron Wildig,1992-04-15,26,175.26,73.0,45,65,66,625000.0,3000.0,Right,1,3,3,High/ Low,1100000.0
241131,L. Justiniano,Leonel Justiniano,1992-07-02,26,172.72,69.9,17,65,68,"","",Right,1,3,2,Medium/ Medium,""
232171,M. Vázquez,Mariano Vázquez,1992-12-20,26,175.26,71.2,7,65,68,675000.0,1000.0,Left,1,2,3,Medium/ Medium,962000.0
243946,A. Erceg,Ante Erceg,1989-12-12,29,154.94,76.2,34,65,65,550000.0,8000.0,Right,1,3,3,High/ High,688000.0
222698,Park Dae Han,박대한 朴大韩,1991-05-01,27,175.26,69.9,85,65,65,450000.0,2000.0,Right,1,4,2,Medium/ Medium,""
220650,M. Lorenzen,Melvyn Lorenzen,1994-11-26,24,187.96,86.2,149,65,70,725000.0,3000.0,Right,1,2,3,High/ Medium,1100000.0
214762,N. Avellaneda,Nicolás Gastón Avellaneda,1993-02-24,26,190.5,83.0,7,65,69,500000.0,3000.0,Right,1,3,1,Medium/ Medium,""
206313,J. Lopy,Joseph Lopy,1992-03-15,26,154.94,68.0,127,65,66,625000.0,2000.0,Right,1,3,2,Medium/ High,1100000.0
240872,M. Dube,Mthokozisi Dube,1992-09-10,26,167.64000000000001,69.9,132,65,68,550000.0,1000.0,Right,1,3,2,Medium/ Medium,1200000.0
238056,J. Masson,Julien Masson,1998-06-18,20,182.88,76.2,54,65,77,850000.0,1000.0,Left,1,2,2,Medium/ Medium,1700000.0
237032,Javi Jiménez,Javier Jiménez García,1997-03-11,21,182.88,73.9,134,65,73,700000.0,5000.0,Right,1,3,2,Medium/ Medium,1600000.0
235496,O. Rathbone,Oliver Rathbone,1996-10-10,22,175.26,76.2,45,65,74,825000.0,1000.0,Right,1,3,3,High/ High,1600000.0
230888,A. O'Neill,Aiden O'Neill,1998-07-04,20,152.4,69.9,9,65,77,925000.0,6000.0,Right,1,3,3,High/ High,""
205288,Fernando,Fernando Martínez Rubio,1990-06-10,28,185.42,78.9,134,65,68,475000.0,2000.0,Right,1,3,1,Medium/ Medium,772000.0
192231,J. Edwards,Joe Edwards,1990-10-31,28,172.72,73.0,45,65,65,550000.0,2000.0,Right,1,4,3,High/ High,963000.0
225511,C. Trueman,Connal Trueman,1996-03-26,22,185.42,74.8,45,65,75,675000.0,4000.0,Right,1,3,1,Medium/ Medium,1400000.0
226785,N. Besler,Nick Besler,1993-05-07,25,185.42,74.8,152,65,70,600000.0,2000.0,Right,1,2,2,Low/ Medium,945000.0
220385,Iván Márquez,Iván Márquez Álvarez,1994-06-09,24,190.5,79.8,134,65,69,600000.0,1000.0,Right,1,3,2,Medium/ Medium,855000.0
217313,J. Caenepeel,Jinty Caenepeel,1996-07-18,22,175.26,68.9,14,65,72,775000.0,2000.0,Right,1,4,3,High/ Medium,1300000.0
234464,V. Ramis,Victorio Gabriel Ramis,1994-07-07,24,154.94,77.1,7,65,70,725000.0,4000.0,Right,1,3,3,High/ Medium,1100000.0
231392,João Nunes,João Aniceto Grandela Nunes,1995-11-19,23,187.96,79.8,120,65,70,600000.0,2000.0,Right,1,2,2,Medium/ High,855000.0
230624,U. Nayir,Umut Nayir,1993-06-28,25,190.5,74.8,148,65,70,725000.0,11000.0,Right,1,2,2,High/ Low,""
216288,S. Mrowca,Sebastian Mrowca,1994-01-16,25,152.4,78.9,119,65,68,575000.0,2000.0,Right,1,3,2,Medium/ High,877000.0
202464,J. Clark,Jordan Clark,1993-09-22,25,182.88,73.0,45,65,68,675000.0,2000.0,Right,1,3,3,High/ Medium,1200000.0
244703,I. Akdağ,İbrahim Akdağ,1991-07-21,27,152.4,74.8,148,65,66,525000.0,4000.0,Right,1,4,2,Medium/ Low,1100000.0
178143,E. Birniçan,Eray Birniçan,1988-07-20,30,187.96,88.9,148,65,65,375000.0,3000.0,Right,1,1,1,Medium/ Medium,750000.0
241887,C. Giousis,Christos Giousis,1999-02-08,20,175.26,66.2,60,65,80,1200000.0,1000.0,Left,1,4,3,Medium/ Medium,3300000.0
232671,L. Putaro,Leandro Putaro,1997-01-07,22,187.96,77.1,58,65,72,775000.0,3000.0,Left,1,3,3,Medium/ Medium,""
230623,S. Bakış,Sinan Bakış,1994-04-22,24,187.96,79.8,148,65,70,725000.0,4000.0,Right,1,3,2,Medium/ Low,1100000.0
220895,A. Al Sulayhim,Abdulmajeed Al Sulayhim,1994-05-15,24,170.18,63.0,125,65,68,575000.0,6000.0,Right,1,4,3,Medium/ Medium,1000000.0
220639,Marcelo,Marcelo Machado dos Santos,1994-05-29,24,154.94,77.1,19,65,69,600000.0,3000.0,Right,1,2,2,Medium/ Medium,1300000.0
239838,M. Antonucci,Mirko Antonucci,1999-03-11,19,154.94,69.9,77,65,81,1200000.0,7000.0,Right,1,3,3,Medium/ Medium,""
228318,H. Chapman,Harry Chapman,1997-11-05,21,172.72,69.9,45,65,80,1200000.0,9000.0,Right,1,3,3,Medium/ Low,3000000.0
222430,F. Viáfara,Fabián Alexis Viáfara Alarcón,1992-03-16,26,167.64000000000001,64.9,30,65,67,525000.0,1000.0,Right,1,3,3,Medium/ Low,748000.0
220894,G. Thomas,George Thomas,1997-03-24,21,172.72,76.2,157,65,76,925000.0,11000.0,Right,1,3,3,High/ Medium,""
213982,C. Mancilla,Camilo Javier Mancilla Valencia,1993-03-26,25,182.88,72.1,30,65,71,625000.0,1000.0,Right,1,2,2,Medium/ Medium,969000.0
200670,M. Hernandez,Moises Hernandez,1992-03-05,27,182.88,69.9,63,65,68,550000.0,2000.0,Left,1,3,2,Medium/ Medium,866000.0
188381,J. Dalé,Maurice Junior Dalé,1985-07-12,33,185.42,81.2,54,65,65,425000.0,2000.0,Right,1,3,3,Medium/ Medium,744000.0
186845,L. Di Matteo,Luca Di Matteo,1988-02-25,31,154.94,73.9,77,65,65,500000.0,1000.0,Left,1,3,2,Medium/ Medium,775000.0
183517,A. Ogogo,Abumere Tafadzwa Ogogo,1989-11-03,29,152.4,78.0,45,65,65,525000.0,3000.0,Right,1,4,2,Medium/ High,919000.0
181725,G. Deegan,Gary Deegan,1987-09-28,31,175.26,74.8,121,65,65,400000.0,4000.0,Right,1,3,2,Medium/ High,700000.0
226781,K. Shelton,Khiry Shelton,1993-06-26,25,190.5,83.9,152,65,70,725000.0,4000.0,Right,1,3,3,Medium/ High,1200000.0
200925,T. Rühle,Tobias Rühle,1991-02-07,28,152.4,78.9,58,65,65,575000.0,2000.0,Right,1,4,3,Medium/ Medium,834000.0
181468,D. Bouzanis,Dean Bouzanis,1990-10-02,28,185.42,83.9,9,65,65,375000.0,3000.0,Right,1,3,1,Medium/ Medium,""
246748,Muñoz,Aihen Muñoz Capellán,1997-08-16,21,175.26,72.1,134,65,76,800000.0,4000.0,Left,1,3,2,High/ Medium,1800000.0
242908,J. Clarke,Jack Clarke,2000-11-23,18,152.4,73.9,45,65,82,1100000.0,5000.0,Right,1,4,3,Medium/ Medium,2700000.0
240860,José Lara,José Alonso Alonso Lara,2000-03-07,19,167.64000000000001,59.9,134,65,79,1100000.0,2000.0,Left,1,3,2,Medium/ Low,3000000.0
222172,Fan Yunlong,范云龙,1989-03-15,29,154.94,74.8,29,65,65,525000.0,4000.0,Right,1,3,3,Medium/ Medium,1100000.0
214492,Y. Mena,Yessy Ferley Mena Palacios,1989-07-15,29,170.18,71.2,30,65,65,550000.0,1000.0,Left,1,3,2,High/ Medium,743000.0
207580,J. Blomberg,Johan Blomberg,1987-06-14,31,152.4,64.0,139,65,65,475000.0,2000.0,Right,1,3,3,Medium/ Medium,713000.0
202204,K. Haraldseid,Kristoffer Haraldseid,1994-01-17,25,154.94,73.9,111,65,69,575000.0,2000.0,Right,1,3,2,Medium/ Medium,762000.0
240859,Berrocal,Juan Berrocal González,1999-12-05,19,182.88,72.1,134,65,79,1000000.0,2000.0,Right,1,2,2,Low/ Medium,2700000.0
229083,C. Jakobsen,Christian Jakobsen,1993-03-27,25,187.96,83.9,40,65,68,675000.0,4000.0,Right,1,4,3,Medium/ High,894000.0
220123,F. Mendy,Formose Mendy,1993-10-08,25,185.42,79.8,54,65,71,625000.0,2000.0,Right,1,3,2,Medium/ Medium,1200000.0
216795,C. Long,Chris Long,1995-02-25,24,154.94,77.1,45,65,72,775000.0,3000.0,Right,1,3,2,Medium/ Low,1500000.0
202715,Urko Vera,Urko Vera Mateos,1987-05-14,31,190.5,88.0,134,65,65,475000.0,5000.0,Right,1,3,2,Medium/ Medium,831000.0
245978,B. Tsonev,Borislav Tsonev,1995-04-29,23,170.18,64.9,20,65,71,"","",Right,1,3,3,Medium/ Medium,""
179930,S. Pawłowski,Szymon Pawłowski,1986-11-04,32,175.26,68.9,119,65,65,475000.0,2000.0,Right,1,3,3,High/ Medium,641000.0
244186,Luquinhas,Lucas Lima Linhares,1996-09-28,22,167.64000000000001,67.1,19,65,72,775000.0,3000.0,Right,1,2,3,Medium/ Low,1800000.0
171994,Marquitos,Marcos García Barreno,1987-03-21,31,175.26,69.9,134,65,65,475000.0,1000.0,Left,1,3,3,Medium/ Medium,641000.0
210389,B. Smith,Brad Smith,1994-04-09,24,152.4,69.9,9,65,70,600000.0,11000.0,Left,1,3,2,High/ Medium,""
200917,M. Erb,Mario Erb,1990-06-16,28,182.88,73.9,58,65,66,500000.0,2000.0,Right,1,3,2,Medium/ Medium,763000.0
244948,C. Benavídez,Carlos Benavídez,1998-03-30,20,185.42,77.1,153,65,75,775000.0,3000.0,Right,1,3,2,Medium/ Medium,1200000.0
226260,A. Cistana,Andrea Cistana,1997-04-01,21,152.4,78.0,77,65,75,775000.0,1000.0,Right,1,3,2,Medium/ High,1400000.0
219860,G. Perea,Geisson Perea,1991-08-06,27,152.4,73.0,30,65,68,550000.0,1000.0,Right,1,3,2,Medium/ Medium,784000.0
213204,S. Lundholm,Sam Lundholm,1994-07-01,24,154.94,74.8,139,65,70,725000.0,1000.0,Left,1,3,3,Medium/ Medium,961000.0
139475,G. Halford,Greg Halford,1984-12-08,34,193.04,81.2,45,65,65,220000.0,2000.0,Right,1,3,2,Medium/ Medium,385000.0
237522,Jorge Cuenca,Jorge Cuenca Barreno,1999-11-17,19,187.96,76.2,134,65,78,850000.0,11000.0,Left,1,3,2,Medium/ Medium,2300000.0
237266,M. Epps,Marcus Epps,1995-01-16,24,182.88,73.0,152,65,71,750000.0,2000.0,Right,1,3,4,High/ Low,1300000.0
234706,B. Mason,Brandon Mason,1997-09-30,21,172.72,69.9,45,65,76,800000.0,2000.0,Left,1,2,3,High/ Medium,1600000.0
214482,F. Rodríguez,Fábio Darío Rodríguez Mejía,1985-10-03,33,175.26,67.1,30,65,65,300000.0,1000.0,Left,1,3,2,High/ Medium,""
199890,N. Lavanchy,Numa Lavanchy,1993-08-25,25,175.26,73.0,140,65,70,600000.0,2000.0,Right,1,3,3,High/ Medium,915000.0
189905,M. Budziński,Marcin Budziński,1990-07-06,28,182.88,79.8,119,65,65,450000.0,2000.0,Right,1,3,3,High/ Medium,608000.0
229073,J. Dacres-Cogley,Josh Dacres-Cogley,1996-03-12,22,175.26,68.0,45,65,74,700000.0,6000.0,Right,1,3,2,Medium/ Medium,1500000.0
223441,O. Sidibé,Ousmane Sidibé,1985-04-23,33,152.4,76.2,64,65,65,220000.0,2000.0,Right,1,3,2,Medium/ Medium,385000.0
209873,K. Moleko,Kgotso Moleko,1989-08-27,29,154.94,76.2,132,65,65,425000.0,1000.0,Right,1,2,3,Medium/ Medium,935000.0
199121,H. Radetinac,Haris Radetinac,1985-10-28,33,187.96,73.0,128,65,65,425000.0,2000.0,Right,1,2,3,Medium/ Medium,531000.0
221648,Y. Barnawi,Yaseen Omar Barnawi,1993-10-01,25,152.4,73.0,125,65,69,575000.0,4000.0,Right,1,3,2,High/ Medium,""
244431,R. Mišlov,Roko Mišlov,1988-05-26,30,190.5,77.1,34,65,65,400000.0,4000.0,Right,1,2,2,Medium/ High,580000.0
236751,A. Hopmark,Andreas Hopmark,1991-07-06,27,193.04,88.0,111,65,67,550000.0,1000.0,Right,1,3,2,Low/ High,729000.0
226767,N. Kuipers,Nick Kuipers,1992-10-08,26,190.5,93.0,105,65,68,575000.0,2000.0,Right,1,2,2,Medium/ High,""
221647,Kim Yong Hwan,김용환 金永焕,1993-05-25,25,175.26,68.0,85,65,69,575000.0,2000.0,Right,1,4,2,High/ High,762000.0
203215,A. Cairns,Alex Cairns,1993-01-04,26,182.88,72.1,45,65,70,525000.0,2000.0,Left,1,3,1,Medium/ Medium,958000.0
214222,L. Giovini,Lucas Raúl Giovini Schiapino,1981-10-13,37,190.5,73.0,7,65,65,70000.0,1000.0,Right,1,2,1,Medium/ Medium,95000.0
243661,A. Vallci,Albert Vallci,1995-07-02,23,190.5,82.1,10,65,74,700000.0,7000.0,Left,1,5,2,Medium/ High,1200000.0
232909,S. Takahashi,髙橋 峻希,1990-05-04,28,170.18,68.0,80,65,65,425000.0,3000.0,Right,1,3,2,Medium/ Medium,531000.0
244684,V. Damascan,Vitalie Damascan,1999-01-24,20,154.94,68.9,99,65,79,1200000.0,6000.0,Right,1,3,2,High/ Low,2700000.0
224204,S. Kroll,Steve Kroll,1997-05-07,21,190.5,87.1,58,65,73,600000.0,1000.0,Right,1,3,1,Medium/ Medium,990000.0
222156,J. Bree,James Bree,1997-12-11,21,152.4,73.9,45,65,78,925000.0,3000.0,Right,1,2,2,Medium/ Medium,""
204492,P. Breier,Pascal Breier,1992-02-02,27,185.42,77.1,58,65,66,650000.0,1000.0,Right,1,3,3,High/ Medium,991000.0
202444,S. Calvano,Simone Calvano,1993-07-11,25,182.88,74.8,77,65,67,650000.0,1000.0,Right,1,3,2,Medium/ Medium,""
189387,T. Mickel,Tom Mickel,1989-04-19,29,185.42,83.9,58,65,65,375000.0,3000.0,Right,1,2,1,Medium/ Medium,600000.0
183499,Y. Amankwah,Yaw Amankwah,1988-07-07,30,195.57999999999998,93.9,111,65,65,425000.0,3000.0,Right,1,3,2,Low/ High,531000.0
241867,Aitor Ruibal,Aitor Ruibal García,1996-03-22,22,175.26,74.8,134,65,74,850000.0,5000.0,Right,1,3,2,Medium/ Medium,""
236747,L. González,Luis González,1990-12-22,28,170.18,66.2,155,65,65,575000.0,1000.0,Right,1,4,3,High/ Medium,805000.0
232907,H. Otani,大谷 秀和,1984-11-06,34,175.26,67.1,80,65,65,220000.0,3000.0,Right,1,3,2,Low/ High,275000.0
228299,R. Amin,Rewan Amin,1996-01-08,23,152.4,74.8,105,65,72,750000.0,2000.0,Right,1,4,3,Low/ Medium,1100000.0
210123,P. González,Pablo González,1992-07-07,26,175.26,69.9,98,65,68,675000.0,2000.0,Right,1,3,2,Medium/ High,1200000.0
192970,D. Mayor,Danny Mayor,1990-10-18,28,182.88,76.2,45,65,65,550000.0,4000.0,Right,1,3,4,High/ Low,963000.0
222410,K. Veendorp,Keziah Veendorp,1997-02-17,22,182.88,77.1,105,65,74,725000.0,1000.0,Right,1,4,2,Medium/ Medium,1200000.0
237507,Park Yi-Young,박이영 朴易扬,1994-06-29,24,185.42,71.2,85,65,70,600000.0,4000.0,Left,1,4,2,Medium/ Medium,1000000.0
223427,L. Jäger,Lukas Jäger,1994-02-12,25,182.88,73.9,10,65,70,625000.0,5000.0,Right,1,3,2,Medium/ High,1200000.0
